epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.151,1.41556,2.1842,1.43541,0.78753,0.1874,0.42008,0.24135,1.35053,2.71684,1.43195,0.000364455,0.000364455,0.000364455
2,768.008,1.37269,1.32497,1.36276,0.71935,0.50639,0.53074,0.29721,1.44778,1.65571,1.51098,0.000727514,0.000727514,0.000727514
3,1144.26,1.38177,1.25153,1.34867,0.7574,0.58057,0.60958,0.33327,1.51163,1.44513,1.61719,0.00108324,0.00108324,0.00108324
4,1521.65,1.37358,1.20524,1.34246,0.76205,0.55715,0.70077,0.3624,1.47877,1.36237,1.59671,0.001078,0.001078,0.001078
5,1897.28,1.35546,1.15174,1.32672,0.65531,0.62642,0.68022,0.37043,1.44598,1.20612,1.51956,0.001067,0.001067,0.001067
6,2271.98,1.35216,1.11222,1.32361,0.77012,0.64992,0.7358,0.3715,1.50213,1.21841,1.54396,0.00105601,0.00105601,0.00105601
7,2644,1.33541,1.0678,1.3159,0.80063,0.68034,0.75831,0.37721,1.49366,1.16219,1.55497,0.00104501,0.00104501,0.00104501
8,3024.99,1.3409,1.05272,1.30191,0.8731,0.62454,0.73499,0.38988,1.44825,1.05736,1.5131,0.00103401,0.00103401,0.00103401
9,3401.77,1.30951,1.00609,1.29065,0.74021,0.74729,0.77002,0.41068,1.47325,1.00271,1.52273,0.00102301,0.00102301,0.00102301
10,3777.63,1.31681,0.98288,1.29371,0.71065,0.7941,0.81192,0.44186,1.42165,0.95692,1.4763,0.00101201,0.00101201,0.00101201
11,4156.94,1.30317,0.96769,1.28242,0.72605,0.78639,0.78091,0.43097,1.41875,0.99833,1.48087,0.00100101,0.00100101,0.00100101
12,4536.19,1.29483,0.95655,1.28871,0.7773,0.71949,0.76221,0.40621,1.5206,1.00085,1.5553,0.000990012,0.000990012,0.000990012
13,4926.16,1.29601,0.9361,1.2796,0.73116,0.75082,0.77697,0.43276,1.39859,0.91206,1.46615,0.000979013,0.000979013,0.000979013
14,5303.05,1.28597,0.92172,1.2659,0.86788,0.70356,0.77186,0.44812,1.39051,0.87361,1.45592,0.000968014,0.000968014,0.000968014
15,5678.88,1.27734,0.88845,1.26929,0.77969,0.76179,0.81599,0.41201,1.54932,0.89829,1.59086,0.000957015,0.000957015,0.000957015
16,6054.31,1.28391,0.89266,1.26574,0.85058,0.72014,0.8171,0.46504,1.39728,0.8989,1.4735,0.000946016,0.000946016,0.000946016
17,6427.75,1.27115,0.87317,1.27076,0.88001,0.69535,0.80626,0.45824,1.39917,0.89219,1.4616,0.000935018,0.000935018,0.000935018
18,6803.86,1.27467,0.87586,1.27549,0.73299,0.77175,0.80546,0.4529,1.36193,0.84222,1.43083,0.000924019,0.000924019,0.000924019
19,7179.67,1.2548,0.85902,1.25587,0.83719,0.76083,0.82607,0.45639,1.42285,0.83144,1.49791,0.00091302,0.00091302,0.00091302
20,7556.45,1.24946,0.84969,1.24461,0.74118,0.80634,0.84433,0.48578,1.37273,0.7908,1.45073,0.000902021,0.000902021,0.000902021
21,7931.1,1.23847,0.8212,1.24482,0.85232,0.75453,0.84196,0.47123,1.40661,0.82701,1.46598,0.000891022,0.000891022,0.000891022
22,8305.43,1.24651,0.82005,1.24775,0.8423,0.71128,0.82343,0.45,1.41563,0.82304,1.48589,0.000880023,0.000880023,0.000880023
23,8678.68,1.21,0.80331,1.24377,0.81286,0.76269,0.80189,0.44604,1.4265,0.8429,1.50019,0.000869024,0.000869024,0.000869024
